Facility Number,Facility Name,Common Name,Registration Status,Created At,Updated At,Zone,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Registration Number,CTC Number,Latitude,Longitude,Date Opened,National Grid,Generator,Solar Panels,No Electricity,Other
103659-9,St Benedict,Luguruni,Registered,2013-08-20T10:36:39.000Z,2019-04-01T06:49:48.000Z,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Kwembe,Luguruni,Hospital - Hospital at District Level,Operating,Private - Faith based organization (FBO),71329,,-6.79778,39.09051,07/07/2012,1,1,0,0,0
112659-8,St Camillus,,Registered,2019-03-02T11:19:42.000Z,2019-07-25T11:13:31.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Sabasaba,Mindu,Health Labs - Level III Multipurpose Health Laboratory,Operating,Private - For Profit,phl-c/mor/aut/011,,-6.823548,37.662083,,1,0,0,0,0
105570-6,St Carolus,Mntinko Hospital,Registered,2013-08-20T10:44:03.000Z,2018-05-02T06:26:57.000Z,Central Zone,Singida,Singida,Singida DC,Mtinko,Mtinko,Hospital - Council Designated Hospital,Operating,Private - Faith based organization (FBO),,,-4.54873,34.84298,,1,0,1,0,0
111698-7,St Clara,ST CLARA DISPENSARY,Registered,2017-04-03T12:59:50.000Z,2019-06-21T11:33:40.000Z,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Iwambi,Lumbila,Dispensary,Operating,Private - Faith based organization (FBO),127244,,-8.94035,33.38889,01/04/2017,1,0,0,0,0
109502-5,St Francis RC,,Registered,2015-03-27T10:10:43.000Z,2019-05-29T10:32:46.000Z,Northern Zone,Kilimanjaro,Hai,Hai DC,Hai Mjini,Kambi ya raha,Dispensary,Operating,Private - Faith based organization (FBO),,,-3.35108,37.12065,,1,0,0,0,0
107563-9,St Harry,,,2013-08-20T10:52:17.000Z,2016-05-05T13:13:58.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Mji Mpya,Simu 'A',Dispensary,Operating,Private - For Profit,,,-6.81991,37.66497,,0,0,0,0,0
102251-6,St John Paul II,Kaliua Mission,Registered,2013-08-20T10:31:27.000Z,2019-06-17T11:21:12.000Z,Western Zone,Tabora,Kaliua,Kaliua DC,Kaliua,Kaliua Magharibi,Hospital - Hospital at District Level,Operating,Private - Faith based organization (FBO),141202,,-5.05639,31.7946,10/06/1963,1,1,0,0,0
106990-5,St Joseph,ST. Joseph Peramiho referral hospital,Registered,2013-08-20T10:49:55.000Z,2018-09-27T09:39:05.000Z,Southern Zone,Ruvuma,Songea,Songea DC,Peramiho,Paramiho'A',Hospital - Council Designated Hospital,Operating,Private - Faith based organization (FBO) - Catholic,,,-10.6377,35.46306,,1,1,1,0,1
108001-9,St Joseph,Uchira RC,Registered,2013-08-20T10:54:07.000Z,2019-05-22T10:04:04.000Z,Northern Zone,Kilimanjaro,Moshi,Moshi DC,Kiruavunjo Kusini,Uchira,Dispensary,Operating,Private - Faith based organization (FBO) - Catholic,34028,,-3.39551,37.46883,06/09/1997,1,0,0,0,0
112191-2,St Joseph College of Engineering,St. Joseph Dispensary,Registered,2018-04-17T13:32:37.000Z,2018-04-17T13:32:37.000Z,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Kwembe,Luguruni,Dispensary,Operating,Private - Faith based organization (FBO),,,-6.793324,39.088874,05/12/2017,1,1,0,0,0
112912-1,St Joseph Health Care,,Registered,2019-03-07T09:43:23.000Z,2019-05-22T09:50:04.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Elerai,Sakina,Clinic - Super specialized Polyclinic,Operating,Private - For Profit,23318,,-3.360253,36.658594,25/09/2018,0,0,0,0,0
110949-5,St Joseph Mapambazuko,,Registered,2015-10-06T05:56:19.000Z,2015-10-06T05:56:19.000Z,Southern Zone,Ruvuma,Tunduru,Tunduru DC,Masonya,Nakayaya Mashariki,Dispensary,Operating,Private - For Profit,,,-11.0352,37.32849,,0,0,0,0,0
104620-0,St Jude Thaddeus,Mbingu sister's,Registered,2013-08-20T10:40:20.000Z,2017-09-21T09:23:46.000Z,Eastern Zone,Morogoro,Kilombero,Kilombero DC,Igima,Mpofu,Health Center,Operating,Private - Faith based organization (FBO),,,-8.17262,36.25092,,0,0,0,0,0
110292-0,St Karoli Luanga,,Registered,2015-06-17T06:53:32.000Z,2016-05-05T12:21:47.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Kichangani,Area five,Dispensary,Operating,Private - Faith based organization (FBO),,,-6.80586,37.684,,0,0,0,0,0
107564-7,St Lukes,,Registered,2013-08-20T10:52:17.000Z,2016-12-28T10:50:45.000Z,Central Zone,Dodoma,Mpwapwa,Mpwapwa DC,Ving'hawe,Ving'hawe,Health Center,Operating,Private - Faith based organization (FBO),,,-6.3635,36.49508,,1,1,1,0,0
110289-6,St Magdalena,St Magdalena,Registered,2015-06-17T05:42:01.000Z,2016-05-05T14:05:17.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Uwanja wa Taifa,Kiswanya 'B',Dispensary,Operating,Private - Faith based organization (FBO),,,-6.82165,37.65409,,0,0,0,0,0
107565-4,St Magdalena,Maternity waiting home,Registered,2013-08-20T10:52:18.000Z,2016-04-04T05:33:24.000Z,Eastern Zone,Pwani,Mkuranga,Mkuranga DC,Vianzi,Malela,Maternity Home,Operating,Private - Faith based organization (FBO),,,-7.10486,39.32146,,0,0,0,0,0
112333-0,St Martin De pores,,Registered,2018-08-14T13:50:35.000Z,2019-07-25T10:55:18.000Z,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Saranga,Upendo,Dispensary,Operating,Private - For Profit,71530,,-6.79759,39.14836,12/02/2018,1,0,0,0,0
105013-7,St Mary,Mivumoni,Registered,2013-08-20T10:41:51.000Z,2016-08-25T15:07:53.000Z,Northern Zone,Tanga,Pangani,Pangani DC,Bushiri,Mivumoni,Dispensary,Operating,Private - Faith based organization (FBO),45201,,-5.31145,38.90773,,0,0,0,0,0
112133-4,St Mary's Wende,St Mary's Dispensary,Registered,2018-03-19T11:51:43.000Z,2018-04-23T10:10:57.000Z,Southern Highlands Zone,Njombe,Njombe,Njombe TC,Mjimwema,Ngalanga,Dispensary,Operating,Private - Faith based organization (FBO),113226,,-9.347249,34.803045,11/11/2017,1,0,0,0,0
113980-7,St Monica,St Monica,Registered,2020-01-24T13:14:16.000Z,2020-01-24T13:14:16.000Z,Northern Zone,Kilimanjaro,Moshi,Moshi DC,Kirua Vunjo Magharibi,Marua,Hospital - Other Hospital,Operating,Private - For Profit,34228,,-3.28758,37.4476,15/01/2020,1,1,0,0,0
113839-5,St Ndahani,St Ndahani dispensary,Registered,2019-11-22T11:30:30.000Z,2019-11-22T11:30:30.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Kawe,Mbezi beach A,Dispensary,Operating,Private - For Profit,,,-6.73702,39.22376,15/01/2019,1,1,0,0,0
110858-8,St Philipo,,Registered,2015-08-17T05:56:25.000Z,2016-01-08T10:52:14.000Z,Western Zone,Tabora,Tabora,Tabora MC,Ng`ambo,Not set,Health Center,Operating,Private - Faith based organization (FBO),,,-5.04705,32.80169,,0,0,0,0,0
111488-3,St Raphael,ST RAPHAEL,Registered,2016-09-21T04:03:12.000Z,2019-05-22T09:12:22.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Sanawari,Dispensary,Operating,Private - For Profit,23242,,-3.360657,36.696181,29/09/2014,1,0,0,0,0
110753-1,St Theresia,St Theresia,,2015-07-16T06:11:05.000Z,2015-07-16T06:11:05.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Kunduchi,Mtongani,Dispensary,Operating,Private - For Profit,,,-6.67668,39.20475,,0,0,0,0,0
102199-7,St Theresia,SR THERESE DISP,Registered,2013-08-20T10:31:16.000Z,2020-03-09T16:58:18.000Z,Lake Zone,Kagera,Missenyi,Missenyi DC,Mushasha,Mushasha,Health Center,Operating,Private - Faith based organization (FBO),102199-7,18-08-0106,-1.24282,31.48279,27/09/1997,1,1,1,0,0
112521-0,St Theresia Mission,St Theresia Mission,Registered,2019-02-19T09:20:30.000Z,2019-10-03T08:10:56.000Z,Western Zone,Tabora,Kaliua,Kaliua DC,Kanindo,Mapigano,Dispensary,Operating,Private - For Profit,144218,,-4.629417,32.165461,01/01/2017,1,0,0,0,0
113402-2,ST Thomas,,Registered,2019-03-27T16:25:30.000Z,2019-08-03T18:34:17.000Z,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Makuburi,Kibangu,Clinic - Polyclinic,Operating,Private - For Profit,71398,,-6.80389,39.20949,15/03/2019,1,0,0,0,0
101837-3,St' Ann' mission,St. Anna / Ipuli,Registered,2013-08-20T10:29:58.000Z,2019-06-03T12:24:56.000Z,Western Zone,Tabora,Tabora,Tabora MC,Ipuli,Majengo,Hospital - Hospital at District Level,Operating,Private - Faith based organization (FBO) - Catholic,,,-5.014753,32.843983,,1,1,1,0,0
113686-0,"St,. Nickolas",,Registered,2019-06-10T14:12:29.000Z,2019-06-10T14:12:29.000Z,Lake Zone,Mwanza,Ilemela,Ilemela MC,Nyamanoro,Kilimahewa,Clinic - General Clinic,Operating,Private - For Profit,,,-2.4926,32.90432,,0,0,0,0,0
111044-4,St. Agnes,Lugono,Registered,2015-11-10T08:25:47.000Z,2019-08-22T06:22:12.000Z,Eastern Zone,Morogoro,Mvomero,Mvomero DC,Mlali,Manza,Dispensary,Operating,Private - Faith based organization (FBO) - Catholic,55227,,-6.90064,37.48682,02/02/2015,1,0,1,0,0
101085-9,St. Alois,St. Alois,Registered,2013-08-20T10:27:20.000Z,2019-11-14T13:37:39.000Z,Northern Zone,Manyara,Mbulu,Mbulu DC,Masieda,Endahagichan,Health Center,Operating,Private - Faith based organization (FBO),AR/KJ/383,,-3.784512,35.396496,25/12/1996,0,1,1,0,0
107568-8,St. Alphonsa,Kikwawila,Registered,2013-08-20T10:52:19.000Z,2019-07-16T09:42:46.000Z,Eastern Zone,Morogoro,Kilombero,Ifakara TC,Kibaoni,Kikwawila,Dispensary,Operating,Private - Faith based organization (FBO),,,-8.083,36.7524,,0,0,0,0,0
104655-6,ST. ANN'S (MBULU) CATHOLIC,mission,Registered,2013-08-20T10:40:28.000Z,2019-12-11T20:12:32.000Z,Western Zone,Shinyanga,Kahama,Kahama TC,Mhongolo,Mbulu,Dispensary,Operating,Private - Faith based organization (FBO),,,-3.833,32.64231,17/10/1973,1,0,1,0,0
107569-6,St. Benedict,St.Benedict,Registered,2013-08-20T10:52:19.000Z,2018-04-02T04:41:40.000Z,Southern Zone,Ruvuma,Songea,Songea MC,Matogoro,Matogoro Kati,Dispensary,Operating,Private - Faith based organization (FBO),,,-10.67344,35.67218,,0,0,0,0,0
107572-0,St. Benedict,Mission kwa masister,Registered,2013-08-20T10:52:20.000Z,2017-03-15T10:44:04.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kitunda,Kitunda kati,Health Center,Operating,Private - Faith based organization (FBO),72357,,-6.903487,39.190987,01/07/2005,1,1,0,0,0
107570-4,St. Benedict,St.Benedict,Registration Pending Certification,2013-08-20T10:52:19.000Z,2019-12-11T19:44:27.000Z,Southern Highlands Zone,Katavi,Mlele,Nsimbo DC,Urwila,Urwila,Health Center,Operating,Private - Faith based organization (FBO),,23-04-0114,-6.4535,31.36068,01/11/2009,0,0,1,0,0
107573-8,St. Bennedict,Namanga,Registered,2013-08-20T10:52:20.000Z,2015-07-08T07:11:38.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Msasani,Mikoroshini,Dispensary,Operating,Private - For Profit,,,-6.7727,39.26291,,0,0,0,0,0
107574-6,St. Bernard,St. Bernard,Registered,2013-08-20T10:52:20.000Z,2018-02-08T09:29:59.000Z,Western Zone,Shinyanga,Kahama,Ushetu DC,Ushetu,Ibelansuha,Dispensary,Operating,Private - Faith based organization (FBO),,,-4.19513,32.27919,,0,0,1,0,0
107575-3,St. Bernards,ST. Bernards,Registered,2013-08-20T10:52:20.000Z,2019-11-14T14:01:12.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Jangwani,Mnazi Mmoja,Hospital - Hospital at District Level,Operating,Private - For Profit,72004,,-6.81603,39.27727,01/06/1998,1,1,1,0,0
107576-1,St. Brendan,St. Brenda,,2013-08-20T10:52:21.000Z,2015-07-16T06:55:00.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Kawe,Ukwamani,Dispensary,Operating,Private - For Profit,,,-6.73615,39.22094,,0,0,0,0,0
107578-7,St. Camilius,Camillus,Registered,2013-08-20T10:52:21.000Z,2018-04-02T04:40:17.000Z,Southern Zone,Ruvuma,Songea,Songea MC,Mjini,CCM,Health Center,Operating,Private - Faith based organization (FBO) - Catholic,,10-04-0101,-10.68007,35.64685,06/09/1997,0,0,0,0,0
107577-9,St. Camilius,St. Camilius,Registered,2013-08-20T10:52:21.000Z,2019-11-14T14:00:22.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kiwalani,Yombo,Dispensary,Operating,Private - Faith based organization (FBO),72081,,-6.863286,39.235153,11/06/1990,0,0,0,0,0
107579-5,St. Catherine,St. Catherine,Registered,2013-08-20T10:52:21.000Z,2019-06-10T13:22:19.000Z,Southern Highlands Zone,Mbeya,Mbeya,Mbeya DC,Igoma,Mwanzazi,Dispensary,Operating,Private - Faith based organization (FBO),5054,,-9.00191,33.6557,01/07/2004,1,0,0,0,0
102577-4,St. Charles,St Charles,Registered,2013-08-20T10:32:38.000Z,2019-04-03T11:23:26.000Z,Southern Highlands Zone,Iringa,Mufindi,Mufindi DC,Mtwango,Kibao,Health Center,Operating,Private - Faith based organization (FBO),112006,,-8.59682,35.2852,,1,0,0,0,0
110647-5,St. Clara,St. Clara Dispensary,Registered,2015-07-10T10:52:22.000Z,2019-08-07T07:41:52.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Mianzini,Majimatitu A,Dispensary,Operating,Private - NGOs,73351,,-6.941353,39.246292,15/02/2014,1,1,1,0,0
104111-0,St. Clarent,St. Clarent,Registered,2013-08-20T10:38:22.000Z,2020-02-24T06:14:59.000Z,Lake Zone,Mara,Musoma,Musoma MC,Makoko,Nyarigamba,Dispensary,Operating,Private - Faith based organization (FBO),205009,,-1.495547,33.772846,10/04/1989,1,1,0,0,0
107581-1,St. Elizabeth,st.Elizabeth,Registered,2013-08-20T10:52:22.000Z,2019-05-22T08:50:40.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Ngarenaro,NHC,Hospital - Council Designated Hospital,Operating,Private - Faith based organization (FBO),,02-02-0200,-3.368883,36.677593,,1,1,0,0,0
107580-3,St. Elizabeth,Mantep,Registered,2013-08-20T10:52:21.000Z,2018-05-02T05:59:08.000Z,Eastern Zone,Pwani,Bagamoyo,Bagamoyo DC,Dunda,Shaurimoyo,Health Center,Operating,Private - Faith based organization (FBO),,,-6.434835,38.898268,20/04/1993,1,1,0,0,0
109753-4,St. Erenest,kothora,Registered,2015-03-28T18:29:14.000Z,2016-03-16T12:11:24.000Z,Lake Zone,Mara,Rorya,Rorya DC,Mkoma,Kyariko,Dispensary,Operating,Private - For Profit,,,-1.16577,34.03699,,1,1,0,0,0
107585-2,St. Francis,St Francis DDH,Registered,2013-08-20T10:52:23.000Z,2019-07-16T10:13:46.000Z,Eastern Zone,Morogoro,Kilombero,Ifakara TC,Mlabani,Mlabani,Hospital - Council Designated Hospital,Operating,Private - Faith based organization (FBO),,,-8.14481,36.68246,,1,1,1,0,0
103374-5,St. Francis Kwamkono,St. Francis Kwamkono,Registered,2013-08-20T10:35:34.000Z,2019-06-12T10:49:20.000Z,Northern Zone,Tanga,Handeni,Handeni DC,Sindeni,Kwamkono,Hospital - Hospital at District Level,Operating,Private - Faith based organization (FBO),,,-5.44955,38.26137,,1,1,0,0,0
107586-0,St. Francis Xavier,,Registered,2013-08-20T10:52:23.000Z,2019-07-16T13:23:42.000Z,Eastern Zone,Pwani,Mkuranga,Mkuranga DC,Mkuranga,Mkuranga,Dispensary,Operating,Private - Faith based organization (FBO) - Catholic,66209,,-7.1162,39.20819,,1,1,0,0,0
110703-6,St. Francis Xavier,Chang'ombe Kanisani,Registered,2015-07-11T12:13:19.000Z,2019-08-07T07:44:46.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Chang'ombe,Chang'ombe A,Dispensary,Operating,Private - Faith based organization (FBO),73048,,-6.853455,39.264307,,0,0,0,0,0
107588-6,St. Gasper,,Registered,2013-08-20T10:52:23.000Z,2018-10-12T13:05:18.000Z,Central Zone,Singida,Manyoni,Itigi DC,Itigi Mjini,Itigi Mjini,Hospital - Referral Hospital at Regional Level,Operating,Private - Faith based organization (FBO),,,-5.6984,34.4991,,0,0,0,0,0
107590-2,St. Gemma,St.Gemma Hospital,Registered,2013-08-20T10:52:24.000Z,2015-09-07T11:39:19.000Z,Central Zone,Dodoma,Dodoma,Dodoma MC,Miyuji,Miyuji Proper,Hospital - Council Designated Hospital,Operating,Private - Faith based organization (FBO),14206,,-6.107776,35.757239,14/08/2004,1,0,0,0,0
107591-0,St. Getrude,Fiona,Registered,2013-08-20T10:52:24.000Z,2019-11-07T19:55:43.000Z,Eastern Zone,Pwani,Kibaha,Kibaha DC,Janga,Janga,Dispensary,Operating,Private - Faith based organization (FBO),,,-6.72038,38.74029,12/06/2006,1,1,0,0,0
113017-8,St. Hellen,St. Hellen,Registration Pending Certification,2019-03-08T19:04:26.000Z,2019-03-08T19:04:26.000Z,Eastern Zone,Morogoro,Kilosa,Kilosa DC,Mikumi,Mikumi,Dispensary,Operating,Private - For Profit,,,-7.414402,36.977105,12/12/2018,0,0,0,0,0
107592-8,St. James,,Registered,2013-08-20T10:52:24.000Z,2019-11-27T20:06:12.000Z,Eastern Zone,Morogoro,Kilombero,Kilombero DC,Mlimba,Mlimba 'A',Dispensary,Closed,Private - Faith based organization (FBO),102499,,-7.81667,36.9,,0,0,0,0,0
106224-9,St. John,St. John dispensary.,Registered,2013-08-20T10:46:41.000Z,2019-05-03T07:57:04.000Z,Southern Highlands Zone,Njombe,Njombe,Makambako TC,Mwembetogwa,Mwembetogwa,Dispensary,Operating,Private - For Profit,11,,-8.84894,34.82252,15/05/2001,1,0,0,0,0
111871-0,St. John,SR JOHN,Registered,2017-10-03T05:01:32.000Z,2019-05-13T20:41:22.000Z,Lake Zone,Kagera,Bukoba,Bukoba MC,Bakoba,Forodhani,Dispensary,Operating,Private - For Profit,186212,,-1.34183,31.812464,15/09/2016,1,0,0,0,0
107594-4,St. John University,Mazengo Secondary,Registered,2013-08-20T10:52:25.000Z,2015-09-02T11:52:49.000Z,Central Zone,Dodoma,Dodoma,Dodoma MC,Kikuyu Kusini,Kikuyu,Dispensary,Operating,Private - Faith based organization (FBO),,,-6.197705,35.730955,01/10/2007,1,0,0,0,0
107595-1,ST. Johns,Matamba RC,,2013-08-20T10:52:25.000Z,2015-08-21T08:09:59.000Z,Southern Highlands Zone,Njombe,Makete,Makete DC,Matamba,Matamba,Health Center,Operating,Private - Faith based organization (FBO),,,-8.973642,33.951809,23/05/2011,1,0,0,0,0
107596-9,St. Joseph,St Joseph,Registered,2013-08-20T10:52:25.000Z,2017-01-20T07:08:35.000Z,Lake Zone,Geita,Chato,Chato DC,Buseresere,Buseresere,Dispensary,Closed (Temporary),Private - For Profit,,,-3.003861,31.920483,17/08/2005,0,0,0,1,0
107597-7,St. Joseph,Kwa Ma-Sister,Registered,2013-08-20T10:52:25.000Z,2015-07-24T06:55:15.000Z,Northern Zone,Kilimanjaro,Moshi,Moshi MC,Soweto,Wireless,Hospital - Council Designated Hospital,Operating,Private - Faith based organization (FBO),36207,,-3.354888,37.317735,,1,1,1,0,0
110835-6,St. Joseph,St.Joseph,Registered,2015-07-24T09:20:45.000Z,2015-08-17T11:23:31.000Z,Eastern Zone,Morogoro,Kilosa,Kilosa DC,Dumila,Dumila,Health Center,Operating,Private - Faith based organization (FBO),,,-6.38451,37.32531,,1,1,1,0,0
107598-5,St. Joseph,St Joseph,Registered,2013-08-20T10:52:26.000Z,2019-05-21T10:02:38.000Z,Western Zone,Shinyanga,Shinyanga,Shinyanga MC,Kambarage,Jomu,Dispensary,Operating,Private - For Profit,175208,,-3.6674,33.41971,10/09/1996,1,0,0,0,0
107603-3,St. Joseph,Sisters Convert,Registered,2013-08-20T10:52:27.000Z,2015-12-16T11:41:56.000Z,Northern Zone,Tanga,Korogwe,Korogwe TC,Kwamndolwa,Kwamndolwa,Health Center,Operating,Private - Faith based organization (FBO),42001,04-02-0134,-5.09708,38.50259,21/02/1997,1,1,0,0,0
107600-9,St. Joseph Ikelu.,St Joseph Ikelu.Hospital,Registered,2013-08-20T10:52:26.000Z,2019-03-01T06:54:18.000Z,Southern Highlands Zone,Njombe,Njombe,Makambako TC,Utengule,Ikelu,Hospital - Hospital at District Level,Operating,Private - Faith based organization (FBO),113211,,-8.98953,34.82256,07/07/2015,1,1,0,0,0
111050-1,St. kizito,,Registered,2015-11-10T09:56:06.000Z,2019-03-01T11:49:04.000Z,Eastern Zone,Morogoro,Kilosa,Kilosa DC,Mikumi,Mikumi,Hospital - Hospital at District Level,Operating,Private - Faith based organization (FBO) - Catholic,,,-7.40612,36.97765,,0,0,0,0,0
110687-1,St. Lawrence Diabetic,St Lawrent Diabetic centre,,2015-07-11T09:55:32.000Z,2015-07-11T09:55:32.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Msasani,Mikoroshini,Clinic - Other Clinic,Operating,Private - For Profit,,,-6.768736,39.270713,,0,0,0,0,0
107605-8,St. Longinus,Longinus,Registered,2013-08-20T10:52:27.000Z,2017-04-18T05:40:52.000Z,Lake Zone,Kagera,Karagwe,Karagwe DC,Kibondo,Nyakaiga,Dispensary,Operating,Private - For Profit,181203,,-1.7259,30.96314,01/01/2014,0,0,1,0,0
107607-4,St. Luke,,,2013-08-20T10:52:28.000Z,2015-08-25T10:41:46.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Sinza,Sinza C,Dispensary,Closed,Private - For Profit,,,-6.78364,39.2202,,0,0,0,0,0
107606-6,St. Luke,Usolanga,Registered,2013-08-20T10:52:28.000Z,2019-12-11T19:48:40.000Z,Southern Highlands Zone,Iringa,Iringa,Iringa DC,Mboliboli,Mboliboli,Dispensary,Operating,Private - Faith based organization (FBO),,11-06-0120,-7.32846,35.54939,11/05/2004,1,0,1,0,0
102997-4,St. Martins,st martins,Registered,2013-08-20T10:34:10.000Z,2019-03-01T10:43:20.000Z,Southern Zone,Lindi,Kilwa,Kilwa DC,Kipatimu,Kipatimu,Hospital - Hospital at District Level,Operating,Private - Faith based organization (FBO),,,-8.48149,38.9218,,0,0,0,0,0
107611-6,St. Mary,,Registered,2013-08-20T10:52:30.000Z,2016-05-05T12:47:32.000Z,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Mafiga,Madox,Dispensary,Operating,Private - For Profit,,,-6.83071,37.65439,,0,0,0,0,0
110762-2,St. Mary of Fatima,Gwandu mehhi,Registered,2015-07-16T08:01:11.000Z,2019-11-14T13:47:43.000Z,Northern Zone,Manyara,Mbulu,Mbulu TC,Marang,Gwandumehi,Dispensary,Operating,Private - Faith based organization (FBO),27207,,-3.738067,35.556549,01/06/2009,1,0,0,0,0
101915-7,St. Mary's Isingiro,Isingiro Hospital,Registered,2013-08-20T10:30:15.000Z,2019-03-04T11:58:59.000Z,Lake Zone,Kagera,Kyerwa,Kyerwa DC,Isingiro,Karukwanzi 'A',Hospital - Hospital at District Level,Operating,Private - Faith based organization (FBO),18010200,,-1.2749,30.68886,,0,1,1,0,0
107614-0,St. Michael,Katojo,Registered,2013-08-20T10:52:30.000Z,2017-04-18T05:39:21.000Z,Lake Zone,Kagera,Karagwe,Karagwe DC,Nyaishozi,Nyaishozi,Dispensary,Operating,Private - For Profit,,,-1.7675,31.13546,,0,0,1,0,0
111794-4,St. Michael,St. Michael,Registered,2017-07-11T07:48:04.000Z,2017-08-01T09:03:11.000Z,Eastern Zone,Pwani,Kibaha,Kibaha DC,Kilangalanga,Disunyara,Health Center,Operating,Private - Faith based organization (FBO),,,-6.77787,38.72805,07/06/2017,1,0,0,0,0
107613-2,St. Michael,,Registered,2013-08-20T10:52:30.000Z,2019-05-21T07:10:53.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Unga Ltd,Viwandani,Dispensary,Closed,Private - For Profit,,,-3.37752,36.683,,0,0,0,0,0
107616-5,St. Michael,S.Michael,Registered,2013-08-20T10:52:31.000Z,2019-07-02T10:13:03.000Z,Northern Zone,Tanga,Lushoto,Lushoto DC,Ubiri,Ubiri,Dispensary,Operating,Private - Faith based organization (FBO) - Catholic,,,-4.818,38.30614,,1,1,0,0,0
112517-8,St. Monica,St.Monica,Registered,2019-02-18T06:40:01.000Z,2019-06-07T18:11:52.000Z,Northern Zone,Tanga,Handeni,Handeni DC,Kabuku,Kwedikwazu,Dispensary,Operating,Private - Faith based organization (FBO),46212,,-5.531395,38.457622,01/02/2019,0,1,0,0,0
107617-3,St. Monica Modern,St. Monica Modern,,2013-08-20T10:52:31.000Z,2018-01-17T05:58:32.000Z,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Manzese,Chakula bora,Health Center,Operating,Private - For Profit,,,-6.798686,39.231334,,0,0,0,0,0
107618-1,St. Norbert,St.Norbeth,Registered,2013-08-20T10:52:31.000Z,2018-04-02T04:38:04.000Z,Southern Zone,Ruvuma,Songea,Songea MC,Bombambili,Merikebu,Dispensary,Operating,Private - Faith based organization (FBO),,,-10.6647,35.6478,26/07/2006,0,0,0,0,0
107619-9,St. Otto,St. Otto,Registered,2013-08-20T10:52:31.000Z,2015-03-26T04:28:51.000Z,Lake Zone,Kagera,Biharamulo,Biharamulo DC,Nyarubungo,Katoke,Dispensary,Operating,Private - Faith based organization (FBO),,,-2.66854,31.36311,,1,0,1,0,0
111137-6,St. Paul,Kamadolesi,Registered,2015-11-18T12:37:29.000Z,2018-07-30T09:33:57.000Z,Southern Highlands Zone,Iringa,Mafinga,Mafinga TC,Sao Hill,Changarawe,Dispensary,Operating,Private - Faith based organization (FBO),112207,,-8.306223,35.24436,25/01/2014,1,1,0,0,0
112287-8,St. Paul,,Registered,2018-07-18T09:19:47.000Z,2019-05-18T20:59:31.000Z,Southern Highlands Zone,Mbeya,Kyela,Kyela DC,Kyela,Idara ya maji,Dispensary,Operating,Private - For Profit,123210,,-9.57592,33.84857,,1,0,0,0,0
107623-1,St. Peter,,,2013-08-20T10:52:32.000Z,2015-12-10T12:54:33.000Z,Lake Zone,Geita,Geita,Geita TC,Kalangalala,Not set,Dispensary,Operating,Private,,,-2.900802,32.23013,,0,0,0,0,0
107622-3,St. Peter and Paul,St.Peter and Paul,Registered,2013-08-20T10:52:32.000Z,2016-02-25T07:58:53.000Z,Southern Highlands Zone,Mbeya,Mbeya,Mbeya DC,Bonde la Songwe,Songwe Viwandani,Dispensary,Operating,Private - Faith based organization (FBO),122202,,-8.950442,33.240216,22/01/2002,1,0,0,0,0
107625-6,St. Raphael,Mission Hospital,Registered,2013-08-20T10:52:33.000Z,2016-08-25T15:19:22.000Z,Northern Zone,Tanga,Korogwe,Korogwe TC,Old Korogwe,Old Korogwe,Health Center,Operating,Private - Faith based organization (FBO),42030,04-02-0105,-5.15553,38.472,03/04/1999,1,1,1,0,0
107627-2,St. Raphael,St raphael,Registered,2013-08-20T10:52:33.000Z,2019-06-21T06:59:06.000Z,Northern Zone,Tanga,Lushoto,Bumbuli DC,Soni,Shashui,Dispensary,Operating,Private - Faith based organization (FBO),41207,04-01-0144,-4.862783,38.374718,,1,0,0,0,0
